Country,Happiness_Rank,accessibility_to_cities,elevation,aspect,slope,cropland_cover,tree_canopy_cover,isothermality,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,wind,cloudiness
Lebanon,103,38.07619697,949.7680368,245.3370826,2.886782145,27.63600558,1.215264123,37.00691326,487.086739,0.499958696,2.690723018,826.0401421,96.58459722,4.600508952,190.0050392,499.1920478,26.23132734,7.278014927,9.839470174,22.0373379,28.89247962,14.92567224,2.661152298,59.09732097,22.16920931,7.306271706,2.97035751,126.9303162
Liberia,116,244.7298753,204.702246,202.1377139,0.049927262,0.021103195,41.79691245,76.85490725,1005.588849,44.68420247,209.1531388,2703.95707,57.96025748,444.9659099,460.3620989,1113.738327,14.2696455,24.51997296,11.01002924,25.73367536,33.11536356,25.58377852,18.84571806,8.077275473,26.42195246,24.93305821,1.419637779,247.8106864
Libya,63,1627.81014,417.5592197,160.0419948,0.048745106,0.991233751,0.003623095,45.9782417,15.41488185,6.76E-04,0.208069139,29.81124283,49.61488625,0.820696664,6.737376611,16.48756072,32.78468936,13.0248538,15.21206713,23.00573697,37.61730153,21.70001683,4.83261217,62.62162165,28.93755319,17.81770305,4.219238082,61.61793676
Lithuania,56,52.24908502,103.2487388,195.5077952,0.004472962,62.38429549,19.7071296,25.42843526,122.4142494,28.9744605,103.5056178,661.9081118,29.14459528,225.1699164,81.89833917,228.878898,29.96791484,-4.296542369,7.774690331,-2.62395674,21.84757578,6.19788742,-8.120339063,80.14949669,16.19053435,15.45819191,3.586398669,234.1164869
Luxembourg,17,15.3883393,371.0438855,154.5427278,0.126920648,52.99625468,22.40293985,32.30077385,231.8844931,59.0590846,192.7739358,892.8414676,11.15899449,229.4252723,89.85901652,253.8800927,23.32722881,1.240739778,7.638417077,4.638635123,21.69863417,8.588748586,-1.628594638,58.18413745,16.07653093,2.616115686,3.529447046,241.4230149
Macedonia,93,69.04754553,802.3358714,175.2740213,1.895540194,35.37039797,16.95090669,33.76605923,166.4807225,36.8702873,119.154179,642.062617,21.29696364,128.5339612,76.26115993,199.1470726,30.68523936,0.490646328,10.51061799,17.03634124,26.38274097,9.789268392,-4.302498388,70.80659744,18.64252578,7.675625917,2.195983124,187.9338111
Madagascar,147,514.3095535,544.7815866,190.7038025,0.646853978,3.094496729,16.05287471,65.48244415,79.16816422,16.80746447,63.70618404,1376.463386,96.73478536,676.3064958,316.322236,820.0000928,18.65834236,19.65656747,12.30731743,20.06203974,31.34213014,22.8459554,12.68378778,21.8645536,25.069608,24.94374051,2.736785577,154.8765663
Malawi,131,109.7700942,925.9167949,158.5645583,0.766269656,36.94958297,13.05164158,57.44849241,20.72394904,2.8532299,13.2761354,1071.260052,106.1647201,295.0086465,248.7430754,678.123718,18.89717035,18.39836145,10.93940198,19.39689405,30.51372231,21.74749596,11.61655196,22.53399769,24.18665891,23.16276185,2.356043926,167.5018674
Malaysia,61,313.268561,282.5059503,185.2039163,0.703756565,6.691351804,60.08547739,86.99983752,839.6860746,157.7685165,537.8277883,2951.677641,25.88120245,675.2413871,369.9651053,985.3449484,9.653610205,24.88329593,8.417343488,25.48537122,30.48007542,25.44340927,20.82646521,3.871056804,25.87656279,25.13247869,1.203083993,298.2812421
Mali,138,1821.774328,321.3376342,176.57228,0.015913345,3.441976025,1.02830754,52.51507852,3.517844042,0.057845168,0.424866868,319.2817825,131.3175093,50.56501979,103.7708084,241.678924,29.58746084,22.14257432,15.44438087,25.24398394,42.2430557,28.249699,12.65559486,44.41116404,33.468711,31.11719642,3.699002646,136.0740396
Mauritania,124,2458.351223,261.903271,178.0629161,0.023469677,0.128914096,0.063985764,50.36590625,3.455872247,0.025390956,0.668451173,92.70912635,117.8625648,29.78648047,33.82191752,75.91664151,30.30918936,20.78836615,15.22545325,26.09762834,42.75250099,27.6847339,12.44331163,50.2010643,33.68060839,31.85268996,4.590983852,114.9074963
Mauritius,71,17.60296465,224.8697438,186.2163114,1.245061608,29.05641538,27.79054304,54.39852958,266.5162784,58.55838029,208.7507807,1853.244102,51.51552163,805.97399,297.6106254,805.97399,13.06658234,19.24756832,7.181395845,20.22942112,28.5402826,22.02937497,15.47370029,21.5486024,24.66036156,24.66036156,4.723604554,155.0956532
Mexico,14,191.3376166,1039.715495,172.5050984,1.03146858,12.71263489,16.22337119,58.67563951,74.17182955,10.58229837,41.15442802,771.5138685,85.71436178,275.6679393,165.895391,426.6518895,25.93124079,15.32372458,15.00428074,18.71459784,32.98682745,20.34591163,7.055586665,37.3720077,24.78395809,23.46507731,2.74994688,152.8080061
Moldova,52,59.49000025,143.1479716,166.7283366,0.11798471,77.52801901,6.905159821,26.94399133,104.3065415,27.69500523,97.44965898,555.5097929,35.77141712,208.4008523,82.39181286,215.7145413,32.66420907,-2.081683378,8.971029299,1.784058964,25.95921355,9.331874031,-6.704995521,85.93869582,19.84389043,18.40738361,3.578615824,204.5717215
Mongolia,100,710.3662001,1494.593363,175.1769269,0.816572192,0.877800591,2.433120377,26.88386763,6.298572765,1.58168752,6.166105098,194.7813471,105.1421754,133.3637895,55.07452647,133.3692751,50.61461846,-18.31295089,13.7957004,-16.78419982,24.10723656,-0.091585537,-26.5073819,134.8538671,16.3809064,16.36940113,3.78683795,152.6570771
Montenegro,82,77.22907814,1033.036137,173.3449723,1.943118323,16.06607425,30.73063867,31.48645697,364.6184459,66.28103756,223.2163326,1266.377902,21.986191,226.3687901,150.467237,410.6334334,27.16748972,0.120511339,8.70116458,16.01155154,23.03809299,8.471448906,-4.129396719,64.82693287,16.65868757,4.116106447,2.419002458,201.7292493
Morocco,92,122.8482695,865.9307738,205.196656,0.926333227,19.97214789,0.468212424,43.14126601,122.7448794,2.448355382,13.83613733,317.0179049,62.48721633,17.16012206,50.46076633,134.5937882,31.59992925,9.685607482,13.66780767,24.01355821,34.24363485,17.09638304,2.643705602,59.39153059,24.9969498,12.58810346,3.009149451,114.7163515
Myanmar,129,322.1251463,570.1658006,184.964498,1.034333157,25.11243856,39.29909781,48.35342771,35.77778288,5.316174281,28.35717297,1981.408964,91.47013442,650.7541158,426.6939634,1173.786418,22.14549172,18.80407606,10.74458522,19.84846366,32.92488673,23.22537673,10.77939501,29.80396723,26.31032989,25.15083815,1.71648827,202.5337387
Nepal,121,338.2014018,2123.311646,194.5895529,2.927130887,27.68561596,21.99304664,44.51657164,66.06005049,5.593297037,44.61999115,1362.14809,99.98114192,739.3330699,356.2869138,886.8534022,24.74214328,7.057627921,11.12221938,8.556681571,25.02669078,13.94969145,0.284547503,48.19824368,19.12302857,18.70953767,2.447196559,174.2159869
Netherlands,7,10.96377983,8.319472995,180.1535854,0,60.49392167,12.98355765,32.27393961,187.3512911,46.27027816,151.6303814,782.3445803,16.38883514,215.7112536,79.35367185,227.6124884,21.71499537,2.481932744,7.122868598,5.140047222,21.15435574,9.282128726,-0.560639633,54.00277342,16.09655641,12.74574416,4.399983413,240.9667441
New Zealand,9,212.2931616,473.4105051,181.962447,1.277507124,16.70505799,36.7799794,46.2822267,444.4034572,97.24405716,343.6277703,1654.20798,15.5782557,364.2112206,170.0249548,482.9050574,19.75640901,5.384525084,9.233445538,11.45409724,20.59574985,10.20664792,0.839340842,36.21621083,14.73255378,8.218787853,3.457694678,204.8887129
Nicaragua,57,295.7828719,221.8445634,148.9837188,0.426387198,4.365388068,36.06068766,71.58983693,354.8119399,35.11567168,130.9733653,2289.551588,66.42536757,481.392236,382.4630748,1016.724805,12.74711571,23.82119639,9.204957474,25.02650247,31.64113128,25.04713041,18.89401557,8.654868336,26.03672673,25.20931369,2.264465605,232.9953742
Niger,144,1310.854178,459.901761,176.1534035,0.038545236,5.835458877,0.140055755,51.80801395,0.031234391,0.001150683,0.02555338,137.9025497,144.507978,26.23598914,55.05359259,115.5592941,29.4663514,20.44084442,15.30200826,22.35526928,40.71231381,27.14037339,11.24596241,46.69096187,32.33253137,30.57675088,3.973613961,97.50453286
Nigeria,78,71.87490841,325.1066464,174.6277329,0.136884238,32.52775857,6.504077418,62.38550202,381.7840794,4.036924101,19.84657971,1178.865428,100.4058918,170.8050845,259.5383404,655.5570673,19.96830424,24.2388495,12.25817595,25.42278178,36.37352199,26.42594675,16.40521774,18.69677639,29.04652441,25.30590376,2.360358523,215.2588468
Northern Cyprus,66,39.45327252,89.76909444,161.8802431,0.528399021,60.8686304,2.131334357,40.9380374,214.2611279,0.593331417,4.952406456,402.4425628,89.46808302,7.575595112,96.86246879,230.0010539,28.1370327,11.45269399,11.67258666,26.36214105,34.04144861,18.81357689,5.904415828,59.91329764,26.44903953,11.45949684,2.99759314,126.9902576
Pakistan,81,264.4672567,1051.985154,190.6666025,1.030050677,31.52079503,1.451869406,39.41373565,57.400858,4.069453872,19.19714204,262.7748794,87.48263028,97.44197936,62.28270092,141.2420318,35.88008413,9.613197041,14.26812586,18.05070865,36.99429338,20.00736737,1.114209249,75.10544836,28.80890258,21.46737596,2.976714228,121.050943
Panama,25,282.3050848,299.6214774,159.461191,1.086222969,7.224637397,41.26935425,76.72183416,808.5330495,32.13011506,135.5817469,2566.060966,59.71434449,417.5021152,411.5478431,1056.365812,10.97718779,24.35701194,8.431731789,25.11980317,30.82522005,25.02086848,19.84803226,5.454428715,25.75920668,24.57703678,1.831303975,271.1057008
Paraguay,53,367.8888256,165.7031156,143.6073728,0.027189037,21.85277541,23.72186749,56.28495087,151.9246773,36.45386145,133.9657044,1081.581002,43.26980559,353.1195209,139.5018725,384.0392047,21.64335169,18.90102471,12.26863873,19.3456635,33.84234203,23.39479292,12.19899034,33.16906876,27.2582446,26.32776444,2.62165028,177.7906776
Peru,58,1027.102283,1472.204748,166.6433275,1.388491607,2.883981259,44.58837027,78.3671053,245.3844795,64.45024221,216.9614409,1561.50841,56.72363191,464.294408,207.4258137,574.2168303,15.95832405,17.8635346,12.41984559,18.2133491,26.69418204,19.16625212,10.73585799,9.018641519,20.12504673,19.74835722,1.806273649,237.8853637
Philippines,90,120.2060505,312.3749269,176.1448694,1.180484575,21.02260645,41.50003066,74.85619151,517.3208749,78.53875225,270.0309285,2558.66669,50.56688382,567.2849526,400.7906999,1065.983588,11.46660561,24.17476106,8.566267556,24.90267797,31.19263849,25.28499795,19.72603289,7.964718286,26.21692042,25.08250008,1.999443382,270.7356054
Poland,60,34.58226078,166.1035576,183.4021908,0.063749957,63.9512875,19.04164939,26.50618578,101.5639642,27.71077187,90.76685292,594.9793321,34.82469752,225.267358,80.84414694,225.5419461,30.13964291,-2.959161106,8.133189903,-1.124553629,23.21470453,7.636440263,-6.924938378,78.20863385,17.20211074,17.17752122,3.341481273,232.7632106
Portugal,88,67.5440991,287.2909383,208.6306862,0.558974676,45.94372088,13.4162118,40.07268916,346.563166,8.188189051,52.41773962,853.9934614,56.49520504,55.71303995,123.7610035,351.0602341,23.39189054,9.067737609,9.452208115,21.17317596,28.49116165,14.99251766,5.099271105,48.26438806,21.40355522,9.589156628,2.950941965,150.3510581
Qatar,28,53.78464303,27.30329376,171.7122246,0,0.579871316,0,37.34846877,41.97645633,0,0,73.21445893,97.46082597,0,17.47689893,46.19771749,27.39261003,18.22878815,10.38104363,34.23350264,40.40252927,26.81822315,13.00991923,62.89629072,34.23350264,19.01868677,4.525723641,82.37060702
Romania,86,59.44506778,400.5558197,174.8750791,0.65603374,57.98463202,22.2342609,30.09469974,112.4792206,33.3615977,104.6650151,626.1659591,35.02062621,229.7524613,90.79173378,241.000686,31.70243188,-1.576595684,9.699802547,0.075311163,25.17124346,9.006305296,-6.531188414,78.69694431,18.63197431,17.06832138,2.697950932,205.1908791
Russia,64,2143.587912,448.5335417,178.456969,0.486310126,7.381209796,20.35647316,19.35171376,63.27918605,15.34518706,52.45074501,434.7292352,49.68574242,181.5754434,69.30780447,184.9978202,50.63119081,-24.74368593,9.922327688,-19.84740069,19.95267913,-6.261876315,-30.67851168,145.2214216,12.20695908,11.54956116,3.013605722,210.9908165
Rwanda,154,58.2010836,1736.716146,149.473235,1.004901225,53.83210128,15.00570024,85.28897563,273.454404,10.97207713,70.49153877,1158.819444,51.52465669,224.2421249,182.5763884,445.0415041,13.04556751,18.55816092,11.18061125,18.79530812,25.58158641,18.86605076,12.5360189,3.000839262,19.2126809,18.78298345,1.83053101,267.6880372
Saudi Arabia,35,652.2953047,641.3239896,128.7679237,0.176330129,1.398640697,0.013973832,44.27968012,30.37417806,0.222433578,1.744215512,94.62359731,97.64929934,2.893950255,23.49607931,53.46874458,31.32649358,15.77772132,13.89981283,31.28659569,39.86923505,24.56439512,8.542741475,64.91790577,32.24043272,20.34803664,3.728877097,72.83423467
Senegal,142,179.9246198,53.62559082,199.3442667,0.002811046,16.31063056,2.510464499,60.62363131,2.910886213,0,0.421782389,674.6602257,136.2960285,99.63082039,212.868414,536.4185446,23.64406451,24.68870746,14.40437071,26.9041546,38.83898379,27.63547141,15.19491928,22.16210705,30.41027296,27.70216486,3.066587067,175.1651938
Sierra Leone,123,115.6647391,198.3206162,208.9676954,0.159177997,1.00395891,31.78183547,66.29212063,1271.990367,8.782608288,54.42505902,2714.774506,81.36483492,309.5308922,537.0111688,1441.199835,16.04423204,24.79327105,10.58660892,25.84009085,34.44087387,26.03879072,18.39664184,10.75321424,27.50616539,24.91365103,1.616442266,236.73696
Singapore,24,0.969004894,18.15942029,158.7439614,0,19.05737705,21.77017717,85.10689163,787.4757316,155.8542214,485.0758053,2401.83568,23.150675,518.4530205,309.05039,819.4957249,9.275178079,26.25763918,7.946948974,27.15145156,31.47748251,26.87656509,22.20230428,4.101879945,27.32539285,26.28877785,2.085953213,322.1853462
Slovakia,45,44.64364635,460.9824197,178.6660302,0.920666014,49.241447,32.30309845,30.42893616,134.6285595,39.45664148,123.5922306,753.1072432,32.48591585,277.8171811,102.3249818,278.4411687,30.63297437,-2.466909971,9.478780227,-1.066368971,23.41366092,7.577007208,-7.219313448,74.67724978,16.76967849,16.52335732,2.697062205,223.3524689
Slovenia,55,41.52405352,561.9787219,156.4179192,1.198477085,35.29113006,43.62244551,30.54271167,227.6719244,65.77892115,206.646424,1173.159014,21.83889704,342.0689726,128.0912561,368.0815825,28.92357053,-0.345223878,8.990989517,0.870878122,24.31269394,8.82737802,-4.610876588,70.26983545,17.7114431,13.5803367,2.214353859,216.5455151
South Africa,113,141.5038538,1043.141954,184.3999503,0.447661291,12.04703082,4.417432958,54.47119206,43.25139485,9.085544868,32.92872316,480.0126204,61.19154871,198.7871431,80.6325437,219.91202,27.63989279,11.1840367,15.08094019,12.66597416,29.99145107,17.19893764,2.351558282,43.76114971,22.2866895,20.56793353,3.4581928,116.5514301
South Korea,47,28.46618824,251.1542671,195.3566307,0.711137536,31.76030023,36.65742339,28.3471869,97.93390368,27.59487228,97.76133661,1316.575314,77.76665348,703.4478712,296.5658185,716.1206177,36.63694049,-1.366561643,10.56985798,-1.145215717,28.59019164,11.13772083,-8.046748829,93.77592282,22.77918303,22.57638748,2.688840701,202.4961525
Spain,36,50.7522396,677.8865814,186.932559,0.838064232,51.15558599,11.35839438,37.65351761,179.9202309,18.80471969,78.28119904,608.5692597,37.27020236,86.46677276,78.71736551,212.8624134,27.5676683,5.938179791,10.50884016,19.04608997,28.85990294,13.06871062,1.292234636,58.78825931,20.91502872,10.46830764,3.07863453,157.6625663
Sri Lanka,132,63.00514497,182.0564906,186.658191,0.403258764,25.76583632,30.91242371,67.87155969,586.0216617,41.36871415,187.7751013,1882.36839,65.66733182,366.7919127,343.4647473,864.803914,11.22670553,24.88306637,7.646920291,27.16368468,32.16791909,26.47843255,20.94121356,11.08589014,27.63315686,25.51740065,3.49490751,247.6070393
Sudan,118,1351.887663,534.0332149,172.4701756,0.066834546,9.919865614,0.9163007,57.67583238,21.33772204,0.015203308,0.146940767,234.8363384,141.488704,38.70853989,78.63975264,180.2926315,27.59993168,21.55596862,15.94464454,22.70811006,39.83315431,26.76252707,12.23322263,36.80854252,30.91749336,28.97118545,3.890765255,97.14185783
Sweden,8,201.5159762,114.7617583,175.4748924,0.061497504,7.070181712,35.80385767,24.9476118,131.9700566,32.55465722,104.9307709,636.3329499,29.68670629,211.908644,81.85004242,222.2281662,31.35314227,-8.072779789,7.931387903,-3.771737303,18.65869978,2.158851085,-12.69444249,81.01218774,12.82723054,11.54643674,4.313964014,237.2764026
Switzerland,1,51.4387536,1306.401711,202.1534026,2.276436531,30.33206282,25.10529803,29.59000811,297.3540432,86.42610049,274.0593707,1338.427735,18.48479441,401.6709152,146.861186,415.3905845,24.02751158,-2.623934158,7.276357867,0.632032027,17.88542645,4.929842409,-6.142085134,59.55781858,12.49037692,10.01104033,2.413838105,226.3158837
Syria,156,125.6040405,521.2332574,165.2021547,0.348500315,35.52881962,0.166570686,39.01708541,130.6384985,0.040859869,0.953299173,248.0164225,81.88910243,1.361116562,49.32627354,131.7985283,35.37429107,7.529617112,13.95376452,27.65416368,36.9670644,17.76447057,1.59277333,79.00052612,27.7279105,8.092531189,3.834949049,97.4519902
Taiwan,38,62.51381382,814.6217189,215.019978,2.419724198,21.73843869,46.76494424,43.05438817,239.1145751,52.39986588,182.7879624,2557.831732,70.42202255,1195.088024,475.2520875,1266.73989,17.05959834,13.99198902,7.352467629,15.72560546,26.67168788,18.84623678,9.612089546,35.43913986,22.83337442,22.49072393,3.260392844,243.0668054
Tajikistan,106,587.4750849,2962.817302,196.0896306,2.611243794,8.437107665,1.311734617,28.04317431,175.0175411,7.094152136,31.70033822,569.9543713,59.52735126,49.44067173,95.73434288,261.1613121,38.36652121,-9.831293582,10.94153258,11.66166425,22.30212012,2.441885087,-16.06440109,91.68561543,13.88849729,1.567253638,2.996939416,185.2862026
Thailand,34,114.0083334,279.3319752,163.7712642,0.514702642,52.0042551,23.74813794,56.71028517,120.6069682,10.2617752,49.15002193,1486.492648,79.44387043,369.0562409,297.8545891,750.8463712,18.96792813,23.39675004,10.62210491,23.81098114,34.96544742,26.15024113,15.99751929,18.71620725,28.23370663,26.60232782,2.013597444,238.1278189
Togo,158,75.05412418,247.1485403,186.6738393,0.173134875,29.46336429,9.369440969,69.84487468,556.5410375,7.660159494,36.62356685,1191.760345,75.33924482,186.5393706,220.3927041,591.919604,16.28504908,24.90478636,11.36262959,27.02554704,35.65354195,26.7362644,19.36849288,13.83416966,28.58808687,25.31890122,2.000121255,223.9970482
Trinidad and Tobago,41,46.90521891,44.16040262,181.2349266,0.197292741,1.819330385,47.10623414,78.99762426,364.2950913,64.42736392,212.8189702,2060.409259,44.36734796,503.4511639,270.3872562,762.3082515,10.69878402,24.85744113,8.505857126,25.43471,30.92925062,25.83451351,20.23046657,6.323938022,26.34335317,26.03463817,3.515222509,229.7875205
Tunisia,107,199.6896395,258.9149633,175.6860227,0.299653393,29.4057707,0.588560255,38.80149417,84.83399588,2.402459121,15.33299491,229.2123383,53.76545724,21.99214798,33.61746301,90.19084003,32.10506271,10.40289164,12.61165815,27.59262247,36.53704521,19.08566103,4.431982492,67.72301664,27.72498106,13.13519223,4.053837793,108.1433595
Turkey,76,74.81476227,1112.032911,183.2526842,1.454611434,37.05865514,7.642872826,34.08318133,219.1034911,12.40489621,46.53409288,592.3943496,51.45034883,58.43178601,91.03702229,244.1009768,33.16223341,0.818752249,11.41079033,19.56958163,28.80140691,10.75281652,-4.360826497,76.51716999,20.37051445,6.02642172,2.795238628,162.7635658
Turkmenistan,70,446.7476197,210.1265566,209.7492346,0.1708769,7.863875679,0.069589831,31.18049733,60.19887679,1.21481794,5.699903636,166.0901739,68.71206907,6.429954816,32.11313955,80.13335304,40.70275235,2.451591509,12.86633643,27.19586956,36.96848304,15.29226867,-3.734269304,99.13820657,28.0011677,11.27597905,4.227009783,125.3371991
Uganda,141,126.0779246,1152.361031,169.1255989,0.365036439,26.42464442,19.36235802,80.82890714,312.4436071,29.96284565,124.0594003,1194.306112,46.57992252,203.5064737,175.1681156,455.3289605,14.8774834,21.52530356,12.04580229,22.86989545,30.47448799,22.47570904,15.59700459,7.392921856,23.43973031,22.04616225,1.786966623,243.254396
Ukraine,111,58.48544543,178.859987,172.2444905,0.069417718,68.34395252,11.16172162,24.85954824,120.2544889,30.69855141,103.9370737,568.6954734,27.97286154,198.9819927,75.32470235,202.1066566,33.43563963,-3.581462044,8.445859516,0.150797732,25.50314171,8.097156593,-7.932497919,90.07546734,19.34155893,17.9819068,3.706255752,214.482655
United Arab Emirates,20,213.1353314,110.5689798,218.7507003,0.071094043,2.091783257,0,45.01245867,43.54852286,0.007372574,0.283719024,72.32978443,127.4958299,0.656837151,27.39363051,53.62716196,26.80954117,19.68429833,12.19137203,32.82297735,40.02268664,27.10950141,13.21314547,54.01550683,33.37469254,22.3963132,3.869895145,69.47315825
United Kingdom,21,39.08280933,154.9721136,173.4816201,0.432489756,54.77314865,14.0594695,35.28654165,271.8047396,57.39702782,183.5510882,967.5948301,18.46788504,213.5087237,106.2203273,304.0103877,19.31967437,2.916075146,6.907957221,8.511864357,19.08297135,8.452062999,-0.236703022,44.85675061,14.35349199,5.635635815,4.479387797,248.1226878
United States of America,15,638.7575393,759.2512262,166.5603824,0.529686762,19.7438699,16.72846247,32.95288154,141.8206803,28.7873624,100.5005596,671.9117326,43.41517081,198.8176868,93.48607266,249.4290178,39.05379633,-5.388305211,12.75193874,1.420302587,26.77673145,6.602248261,-12.27706488,93.46060198,18.51898364,13.57927185,3.586281662,180.2746387
Uruguay,32,146.2655957,110.6832461,196.579478,0.026059595,22.37566704,9.672512422,46.92764539,279.9634695,78.9128142,260.2990633,1222.064688,13.20100494,301.6808728,124.9780186,345.1803035,24.18659019,12.06571453,11.47078973,16.56126899,30.79542919,17.52377977,6.608839001,43.91979533,23.2542935,19.08419289,3.942861886,162.7401298
Uzbekistan,44,523.7900371,357.9727625,195.3145399,0.397815023,15.2674283,0.350609521,28.57270546,65.47386608,1.672349719,8.785473437,196.8237707,61.46569539,11.17754955,34.48610836,88.46949209,42.65918911,-1.618313562,12.30709087,24.52739962,34.97735182,12.39767159,-7.681837283,107.3271601,26.01290938,9.774428329,4.122328469,145.7008648
Venezuela,23,1480.298667,343.3442912,172.6541157,0.604648562,6.188709681,44.16838932,79.99424375,608.3546771,40.78962426,151.9351828,1944.437018,60.2510098,341.5792585,311.0672028,862.4274541,12.77331124,24.86187109,10.24158916,25.54904961,32.24596812,25.60036779,19.47265688,5.616859585,26.24557777,25.19529939,1.856682085,252.1061911
Vietnam,75,99.7589702,401.03086,152.8857864,0.881312874,37.73129503,35.94349722,50.87305684,104.8582675,13.79115265,64.76704351,1788.884738,80.82526332,653.1634997,358.7812102,952.79017,16.78846977,19.40935073,8.318559018,20.1432752,31.18619252,23.35869748,14.39772275,27.96211983,26.48121659,25.50173918,1.999043494,263.9387469
Yemen,136,566.1929055,924.2181081,158.117283,0.68319709,2.959783432,0.25536206,54.55379805,22.30619445,0.661886125,6.010889779,112.9856446,82.78875525,33.41383517,27.89356591,60.09127804,22.00267323,18.49512597,12.10256167,23.50874755,33.64484004,22.97452814,11.64216682,33.83429917,26.99029092,22.73841011,3.515084832,92.36073291
Zambia,85,225.2367696,1126.881278,190.9006839,0.185149305,7.632260651,20.18173889,56.98423452,3.292717528,0.027900481,0.76763036,1023.999592,109.2374867,284.9528562,234.8527289,661.7428786,24.38245429,17.45463235,13.98004516,17.53188913,32.4442829,21.19591605,8.061828612,25.30675327,23.75917956,22.58824718,2.579925928,161.4912803
Zimbabwe,115,138.6263087,980.7205834,186.053171,0.253010454,24.66297879,6.935139882,56.6239958,8.158174378,0.961426618,6.335153232,667.5590611,105.1632419,277.5971509,161.2144837,443.0997794,24.64898765,15.90026485,14.06951393,16.09133356,31.44679328,20.49554675,6.797805623,31.38505608,23.58590726,22.97173893,2.77145431,130.2209263
